Sc,Name,a,b,crop_bgn,crop_agn,crop_bgc,crop_agc,crop_rs
1,Grains,1.09,0.88,0.009,0.006,0.4,0.4,0.22
2,Beans & pulses,1.13,0.85,0.008,0.008,0.4,0.4,0.19
3,Tubers (e.g. potato),0.1,1.06,0.014,0.019,0.4,0.4,0.2
4,Root crops (e.g. peanut),1.07,1.54,0.014,0.016,0.4,0.4,0.2
5,N-fixing forages,0.3,0,0.022,0.027,0.4,0.4,0.4
6,Non-N-fixing forages,0.3,0,0.012,0.015,0.4,0.4,0.54
7,Perennial grasses,0.3,0,0.012,0.015,0.4,0.4,0.8
8,Grass-clover mixtures,0.3,0,0.016,0.025,0.4,0.4,0.8
9,Maize,1.03,0.61,0.007,0.006,0.4,0.4,0.22
10,Wheat,1.51,0.52,0.009,0.006,0.4,0.4,0.24
11,Winter wheat,0.61,0.4,0.009,0.006,0.4,0.4,0.23
12,Spring wheat,1.29,0.75,0.009,0.006,0.4,0.4,0.28
13,Rice,0.95,2.46,0.009,0.007,0.4,0.4,0.16
14,Barley,0.98,0.59,0.014,0.007,0.4,0.4,0.22
15,Oats,0.91,0.89,0.008,0.007,0.4,0.4,0.25
16,Millet,1.43,0.14,0.009,0.007,0.4,0.4,0.22
17,Sorghum,0.88,1.33,0.006,0.007,0.4,0.4,0.22
18,Rye,1.09,0.88,0.011,0.005,0.4,0.4,0.22
19,Soybean,0.93,1.35,0.008,0.008,0.4,0.4,0.19
20,Dry bean,0.36,0.68,0.01,0.01,0.4,0.4,0.19
21,Potato,0.1,1.06,0.014,0.019,0.4,0.4,0.2
22,Peanut (with pod),1.07,1.54,0.014,0.016,0.4,0.4,0.2
23,Alfalfa,0.29,0,0.019,0.027,0.4,0.4,0.4
24,Non-legume hay,0.18,0,0.012,0.015,0.4,0.4,0.54
