id,mu_global,share,seq,FAO90,sand,silt,clay,usda_tex,ref_bd,bd,C,SOC
1,7001,100,1,"Urban, mining, etc.",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,7002,100,1,Humanly disturbed,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,7003,100,1,Water bodies,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,7004,100,1,Fibric Histosols,20,40,40,clay (light),1.26,0.1,33.63,100.89
5,7005,100,1,Glaciers,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,7006,70,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
7,7006,20,2,Haplic Andosols,72,16,12,sandy loam,1.55,0.99,3.43,101.871
8,7006,10,3,Gelic Andosols,41,40,19,loam,1.42,0.76,6.44,146.832
9,7007,80,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
10,7007,20,2,Haplic Andosols,72,16,12,sandy loam,1.55,0.99,3.43,101.871
11,7008,90,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
12,7008,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
13,7009,90,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
14,7009,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
15,7010,90,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
16,7010,10,2,Mollic Gleysols,39,39,22,loam,1.39,1.28,1.65,63.36
17,7011,100,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
18,7012,100,1,Albic Arenosols,88,7,5,sand,1.7,1.62,0.4,19.44
19,7013,80,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
20,7013,10,2,Luvic Calcisols,45,29,26,loam,1.38,1.44,0.58,25.056
21,7013,10,3,Haplic Solonchaks,34,41,25,loam,1.36,1.25,0.46,17.25
22,7014,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
23,7014,10,2,Mollic Gleysols,39,39,22,loam,1.39,1.28,1.65,63.36
24,7015,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
25,7015,5,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
26,7015,5,3,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
27,7016,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
28,7016,10,2,Haplic Kastanozems,37,42,21,loam,1.39,1.28,1.2,46.08
29,7017,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
30,7017,10,2,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
31,7018,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
32,7018,10,2,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
33,7019,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
34,7019,10,2,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
35,7020,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
