baseline,project,difference
3.74081,16.81331,13.07250
3.13810,-15.86234,-19.00044
2.74897,-3.42199,-6.17096
2.49112,-4.82164,-7.31276
2.31388,-6.07451,-8.38839
2.18628,-4.33543,-6.52172
2.08940,1.57101,-0.51839
2.01173,-7.78769,-9.79942
1.94625,-7.73115,-9.67740
1.88869,0.00990,-1.87880
1.83645,-9.89355,-11.73000
1.78792,-9.43586,-11.22378
1.74213,-10.26376,-12.00589
1.69846,-10.99994,-12.69840
1.65653,7.14891,5.49238
1.61610,-13.12134,-14.73744
1.57700,-11.11098,-12.68798
1.53913,-11.96535,-13.50448
1.50240,-12.66632,-14.16873
1.46676,-13.27197,-14.73873
1.43217,-13.80287,-15.23504
1.39857,-14.27066,-15.66923
1.36594,-14.68056,-16.04650
1.33425,-15.03361,-16.36786
1.30347,-15.32826,-16.63172
1.27356,-15.56141,-16.83497
1.24451,-15.72922,-16.97373
1.21628,-15.82757,-17.04385
1.18886,-15.85251,-17.04137
1.16223,-15.80050,-16.96272
1.13635,-15.66865,-16.80500
1.11121,-15.45494,-16.56615
1.08679,-15.15833,-16.24512
1.06306,-14.77888,-15.84194
1.04001,202.94396,201.90395
1.01762,-27.97403,-28.99165
0.99586,1.67956,0.68369
0.97473,-1.28268,-2.25741
0.95420,-2.80265,-3.75684
0.93425,-3.55109,-4.48534
0.91487,-3.79849,-4.71336
0.89605,-3.72698,-4.62303
0.87776,-3.45517,-4.33293
0.85999,-3.05940,-3.91939
0.84273,-2.58886,-3.43159
0.82596,-2.07566,-2.90163
0.80967,-1.54118,-2.35085
0.79384,-1.00002,-1.79386
0.77847,-0.46241,-1.24088
0.76353,0.06427,-0.69926
