year,soc,dpm,rpm,bio,hum,iom,crop_in,tree_in
0.00000,43.07722,0.11114,3.59695,0.54041,34.23689,4.59183,3.14448,0.00000
1.00000,42.12641,0.11114,3.19448,0.50093,33.72803,4.59183,3.14448,0.00000
2.00000,41.33998,0.11114,2.95043,0.47535,33.21122,4.59183,3.14448,0.00000
3.00000,40.65967,0.11114,2.80245,0.45879,32.69545,4.59183,3.14448,0.00000
4.00000,40.04968,0.11114,2.71272,0.44794,32.18605,4.59183,3.14448,0.00000
5.00000,39.48804,0.11114,2.65831,0.44063,31.68612,4.59183,3.14448,0.00000
6.00000,38.96119,0.11114,2.62532,0.43554,31.19736,4.59183,3.14448,0.00000
7.00000,38.46076,0.11114,2.60532,0.43180,30.72067,4.59183,3.14448,0.00000
8.00000,37.98152,0.11114,2.59318,0.42892,30.25644,4.59183,3.14448,0.00000
9.00000,37.52013,0.11114,2.58583,0.42657,29.80476,4.59183,3.14448,0.00000
10.00000,37.07444,0.11114,2.58137,0.42456,29.36554,4.59183,3.14448,0.00000
11.00000,36.64300,0.11114,2.57866,0.42278,28.93859,4.59183,3.14448,0.00000
12.00000,36.22480,0.11114,2.57702,0.42115,28.52365,4.59183,3.14448,0.00000
13.00000,35.81909,0.11114,2.57603,0.41963,28.12045,4.59183,3.14448,0.00000
14.00000,35.42528,0.11114,2.57543,0.41819,27.72869,4.59183,3.14448,0.00000
15.00000,35.04291,0.11114,2.57506,0.41681,27.34807,4.59183,3.14448,0.00000
16.00000,34.67157,0.11114,2.57484,0.41549,26.97827,4.59183,3.14448,0.00000
17.00000,34.31089,0.11114,2.57471,0.41421,26.61900,4.59183,3.14448,0.00000
18.00000,33.96054,0.11114,2.57462,0.41297,26.26997,4.59183,3.14448,0.00000
19.00000,33.62020,0.11114,2.57457,0.41177,25.93088,4.59183,3.14448,0.00000
20.00000,33.28958,0.11114,2.57454,0.41061,25.60146,4.59183,3.14448,0.00000
21.00000,32.96840,0.11114,2.57453,0.40948,25.28143,4.59183,3.14448,0.00000
22.00000,32.65638,0.11114,2.57452,0.40838,24.97052,4.59183,3.14448,0.00000
23.00000,32.35326,0.11114,2.57451,0.40732,24.66847,4.59183,3.14448,0.00000
24.00000,32.05879,0.11114,2.57450,0.40628,24.37503,4.59183,3.14448,0.00000
25.00000,31.77271,0.11114,2.57450,0.40528,24.08995,4.59183,3.14448,0.00000
26.00000,31.49478,0.11114,2.57450,0.40431,23.81301,4.59183,3.14448,0.00000
27.00000,31.22478,0.11114,2.57450,0.40336,23.54395,4.59183,3.14448,0.00000
28.00000,30.96248,0.11114,2.57450,0.40244,23.28257,4.59183,3.14448,0.00000
29.00000,30.70766,0.11114,2.57450,0.40154,23.02864,4.59183,3.14448,0.00000
30.00000,30.46009,0.11114,2.57450,0.40067,22.78195,4.59183,3.14448,0.00000
31.00000,30.21959,0.11114,2.57450,0.39983,22.54229,4.59183,3.14448,0.00000
32.00000,29.98594,0.11114,2.57450,0.39901,22.30946,4.59183,3.14448,0.00000
33.00000,29.75896,0.11114,2.57450,0.39821,22.08327,4.59183,3.14448,0.00000
34.00000,29.53844,0.11114,2.57450,0.39744,21.86353,4.59183,3.14448,0.00000
35.00000,29.32421,0.11114,2.57450,0.39669,21.65006,4.59183,3.14448,0.00000
36.00000,29.11609,0.11114,2.57450,0.39596,21.44266,4.59183,3.14448,0.00000
37.00000,28.91390,0.11114,2.57450,0.39525,21.24119,4.59183,3.14448,0.00000
38.00000,28.71748,0.11114,2.57450,0.39456,21.04545,4.59183,3.14448,0.00000
39.00000,28.52665,0.11114,2.57450,0.39389,20.85529,4.59183,3.14448,0.00000
40.00000,28.34127,0.11114,2.57450,0.39324,20.67056,4.59183,3.14448,0.00000
41.00000,28.16117,0.11114,2.57450,0.39261,20.49109,4.59183,3.14448,0.00000
42.00000,27.98620,0.11114,2.57450,0.39199,20.31674,4.59183,3.14448,0.00000
43.00000,27.81622,0.11114,2.57450,0.39140,20.14736,4.59183,3.14448,0.00000
44.00000,27.65109,0.11114,2.57450,0.39082,19.98280,4.59183,3.14448,0.00000
45.00000,27.49067,0.11114,2.57450,0.39026,19.82294,4.59183,3.14448,0.00000
46.00000,27.33481,0.11114,2.57450,0.38971,19.66764,4.59183,3.14448,0.00000
47.00000,27.18341,0.11114,2.57450,0.38918,19.51676,4.59183,3.14448,0.00000
48.00000,27.03631,0.11114,2.57450,0.38866,19.37018,4.59183,3.14448,0.00000
49.00000,26.89341,0.11114,2.57450,0.38816,19.22778,4.59183,3.14448,0.00000
50.00000,26.75459,0.11114,2.57450,0.38767,19.08945,4.59183,0.00000,0.00000
