year,soc,dpm,rpm,bio,hum,iom,crop_in,tree_in
0.00000,43.07722,0.11114,3.59695,0.54041,34.23689,4.59183,2.74916,0.00000
1.00000,41.93710,0.09717,3.06707,0.48391,33.69712,4.59183,2.74916,5.72739
2.00000,45.08728,0.16579,6.34740,0.59153,33.39072,4.59183,2.74916,1.30669
3.00000,43.93995,0.11283,5.55656,0.60310,33.07564,4.59183,2.74916,1.15989
4.00000,42.98880,0.11107,4.98470,0.58165,32.71955,4.59183,2.74916,1.15512
5.00000,42.24057,0.11101,4.63495,0.55878,32.34400,4.59183,1.07300,1.19097
6.00000,40.84995,0.05220,3.90522,0.46966,31.83104,4.59183,1.07300,1.23635
7.00000,39.83737,0.05274,3.49127,0.41639,31.28514,4.59183,1.07300,1.56186
8.00000,39.23184,0.05664,3.44496,0.39349,30.74492,4.59183,1.07300,1.28731
9.00000,38.47007,0.05335,3.24423,0.37599,30.20467,4.59183,1.07300,1.34104
10.00000,37.83760,0.05399,3.15630,0.36465,29.67082,4.59183,1.07300,1.70967
11.00000,37.51479,0.05841,3.33480,0.36641,29.16333,4.59183,1.07300,1.40113
12.00000,36.92465,0.05471,3.24901,0.36281,28.66629,4.59183,1.07300,1.46089
13.00000,36.42279,0.05543,3.23457,0.35967,28.18129,4.59183,1.07300,1.52321
14.00000,35.98382,0.05618,3.26500,0.35872,27.71210,4.59183,1.07300,1.58797
15.00000,35.59345,0.05695,3.32418,0.35977,27.26073,4.59183,1.07300,2.33389
16.00000,35.72409,0.06589,3.82913,0.37934,26.85790,4.59183,1.07300,1.60842
17.00000,35.17049,0.05720,3.67911,0.38029,26.46206,4.59183,1.07300,1.67473
18.00000,34.72942,0.05799,3.62984,0.37746,26.07230,4.59183,1.07300,1.74266
19.00000,34.36364,0.05881,3.64268,0.37612,25.69421,4.59183,1.07300,1.81196
20.00000,34.05305,0.05964,3.69405,0.37690,25.33064,4.59183,1.07300,1.88235
21.00000,33.78448,0.06048,3.76946,0.37947,24.98324,4.59183,1.07300,1.95352
22.00000,33.54934,0.06133,3.85994,0.38334,24.65290,4.59183,1.07300,2.02512
23.00000,33.34194,0.06219,3.95983,0.38812,24.33997,4.59183,1.07300,2.09679
24.00000,33.15833,0.06305,4.06547,0.39350,24.04448,4.59183,1.07300,2.16812
25.00000,32.99563,0.06390,4.17438,0.39927,23.76625,4.59183,1.07300,2.23866
26.00000,32.85156,0.06475,4.28478,0.40529,23.50492,4.59183,1.07300,2.30798
27.00000,32.72420,0.06558,4.39531,0.41144,23.26005,4.59183,1.07300,2.37557
28.00000,32.61178,0.06639,4.50484,0.41763,23.03110,4.59183,1.07300,2.44097
29.00000,32.51264,0.06717,4.61238,0.42379,22.81748,4.59183,1.07300,2.50365
30.00000,32.42512,0.06792,4.71700,0.42985,22.61852,4.59183,1.07300,2.56313
31.00000,32.34757,0.06864,4.81785,0.43575,22.43351,4.59183,1.07300,2.61892
32.00000,32.27834,0.06930,4.91408,0.44144,22.26168,4.59183,1.07300,2.67054
33.00000,32.21574,0.06992,5.00489,0.44686,22.10223,4.59183,1.07300,2.71756
34.00000,32.15812,0.07049,5.08953,0.45196,21.95432,4.59183,1.07300,2.75956
35.00000,32.10381,0.07099,5.16726,0.45668,21.81705,4.59183,1.07300,10.60435
36.00000,37.59057,0.16498,10.14753,0.65629,22.02994,4.59183,1.07300,1.73664
37.00000,34.99380,0.05873,7.59100,0.63443,22.11782,4.59183,1.07300,1.74840
38.00000,33.32471,0.05887,6.04821,0.56014,22.06566,4.59183,1.07300,1.75740
39.00000,32.19924,0.05898,5.11837,0.49501,21.93506,4.59183,1.07300,1.76264
40.00000,31.41504,0.05904,4.55784,0.44796,21.75837,4.59183,1.07300,1.76411
41.00000,30.84223,0.05906,4.21888,0.41645,21.55601,4.59183,1.07300,1.76184
42.00000,30.39924,0.05904,4.01191,0.39598,21.34049,4.59183,1.07300,1.75592
43.00000,30.03547,0.05896,3.88270,0.38271,21.11927,4.59183,1.07300,1.74650
44.00000,29.71972,0.05885,3.79842,0.37392,20.89670,4.59183,1.07300,1.73374
45.00000,29.43281,0.05870,3.73929,0.36780,20.67519,4.59183,1.07300,1.71783
46.00000,29.16298,0.05851,3.69344,0.36321,20.45600,4.59183,1.07300,1.69900
47.00000,28.90303,0.05828,3.65379,0.35944,20.23969,4.59183,1.07300,1.67750
48.00000,28.64858,0.05802,3.61623,0.35607,20.02643,4.59183,1.07300,1.65357
49.00000,28.39696,0.05774,3.57840,0.35284,19.81615,4.59183,1.07300,1.62747
50.00000,28.14659,0.05743,3.53906,0.34961,19.60867,4.59183,0.00000,0.00000
