year,leaf,branch,stem,croot,froot,total
0.00000,1.39458,4.32319,9.62257,2.50187,1.39458,19.23678
1.00000,0.10050,4.41857,10.31601,2.68216,0.37941,17.89665
2.00000,0.13320,4.52840,11.04260,2.87108,0.20350,18.77878
3.00000,0.13971,4.65277,11.80411,3.06907,0.17900,19.84466
4.00000,0.14710,4.79173,12.60228,3.27659,0.18211,20.99981
5.00000,0.15482,4.94538,13.43879,3.49409,0.19054,22.22362
6.00000,0.16289,5.11377,14.31534,3.72199,0.20029,23.51427
7.00000,0.16479,5.09240,14.66090,3.81183,0.20260,23.93253
8.00000,0.17320,5.28306,15.58550,4.05223,0.21296,25.30696
9.00000,0.18192,5.48795,16.55296,4.30377,0.22372,26.75033
10.00000,0.18367,5.48749,16.90243,4.39463,0.22591,27.19414
11.00000,0.19261,5.71186,17.91876,4.65888,0.23695,28.71905
12.00000,0.20181,5.94957,18.97943,4.93465,0.24831,30.31377
13.00000,0.21123,6.20041,20.08515,5.22214,0.25996,31.97888
14.00000,0.22084,6.46408,21.23638,5.52146,0.27186,33.71461
15.00000,0.21515,6.28769,20.94679,5.44616,0.26493,33.16072
16.00000,0.22434,6.55635,22.10549,5.74743,0.27633,34.90994
17.00000,0.23360,6.83548,23.30621,6.05961,0.28783,36.72274
18.00000,0.24288,7.12440,24.54817,6.38252,0.29936,38.59733
19.00000,0.25211,7.42228,25.83025,6.71587,0.31085,40.53135
20.00000,0.26123,7.72816,27.15092,7.05924,0.32222,42.52177
21.00000,0.27018,8.04095,28.50821,7.41213,0.33341,44.56488
22.00000,0.27889,8.35940,29.89969,7.77392,0.34431,46.65622
23.00000,0.28729,8.68213,31.32247,8.14384,0.35484,48.79057
24.00000,0.29529,9.00758,32.77316,8.52102,0.36491,50.96195
25.00000,0.30281,9.33409,34.24786,8.90444,0.37440,53.16362
26.00000,0.30979,9.65981,35.74223,9.29298,0.38324,55.38804
27.00000,0.31612,9.98282,37.25139,9.68536,0.39130,57.62700
28.00000,0.32175,10.30105,38.77006,10.08022,0.39851,59.87157
29.00000,0.32659,10.61234,40.29251,10.47605,0.40475,62.11225
30.00000,0.33057,10.91450,41.81268,10.87130,0.40996,64.33900
31.00000,0.33364,11.20526,43.32416,11.26428,0.41404,66.54139
32.00000,0.33574,11.48238,44.82033,11.65329,0.41694,68.70868
33.00000,0.33684,11.74362,46.29442,12.03655,0.41860,70.83003
34.00000,0.33689,11.98682,47.73958,12.41229,0.41898,72.89457
35.00000,0.20451,7.53506,30.53056,7.93795,0.25465,46.46274
36.00000,0.20251,7.64806,31.34548,8.14982,0.25244,47.59831
37.00000,0.20023,7.74596,32.12809,8.35330,0.24972,48.67729
38.00000,0.19734,7.82792,32.87481,8.54745,0.24630,49.69382
39.00000,0.19389,7.89325,33.58238,8.73142,0.24217,50.64310
40.00000,0.18990,7.94144,34.24782,8.90443,0.23737,51.52097
41.00000,0.18544,7.97217,34.86857,9.06583,0.23196,52.32396
42.00000,0.18053,7.98526,35.44247,9.21504,0.22599,53.04930
43.00000,0.17525,7.98076,35.96776,9.35162,0.21954,53.69493
44.00000,0.16965,7.95888,36.44315,9.47522,0.21267,54.25956
45.00000,0.16378,7.91999,36.86777,9.58562,0.20545,54.74262
46.00000,0.15771,7.86464,37.24120,9.68271,0.19796,55.14422
47.00000,0.15149,7.79351,37.56341,9.76649,0.19028,55.46517
48.00000,0.14518,7.70741,37.83479,9.83704,0.18246,55.70688
49.00000,0.13883,7.60727,38.05606,9.89458,0.17458,55.87131
50.00000,0.13249,7.49409,38.22829,9.93935,0.16669,55.96092
